Animal protein feeds-Animal_protein feeds-United States-Quantities fed,43
"Animal protein feeds-Feather meal, high protein-U.S. _ AR points-Prices",410
"Animal protein feeds-Fish meal, 60% protein-U.S. _ Domestic, East Coast-Prices",414
Animal protein feeds-Fishmeal and solubles-United States-Quantities fed,365
Animal protein feeds-Meal and bone meal tankage-United States-Quantities fed,365
Animal protein feeds-Meat and bone meal-U.S. _ Central US-Prices,462
Animal protein feeds-Milk products-United States-Quantities fed,68
Barley-Barley-          Afghanistan-Supply and use,17
Barley-Barley-          Albania-Exports and imports,7
Barley-Barley-          Albania-Supply and use,9
Barley-Barley-          Armenia-Supply and use,21
Barley-Barley-          Austria-Exports and imports,24
Barley-Barley-          Azerbaijan-Supply and use,24
Barley-Barley-          Bangladesh-Supply and use,6
Barley-Barley-          Belarus-Exports and imports,8
Barley-Barley-          Belarus-Supply and use,39
Barley-Barley-          Belgium-Exports and imports,372
Barley-Barley-          Bhutan-Supply and use,8
Barley-Barley-          Bosnia_Hercegovina-Supply and use,22
Barley-Barley-          Bulgaria-Exports and imports,2
Barley-Barley-          China (Mainland)-Exports and imports,410
Barley-Barley-          China (Mainland)-Supply and use,70
Barley-Barley-          China (Taiwan)-Exports and imports,274
Barley-Barley-          China (Taiwan)-Supply and use,53
Barley-Barley-          Croatia-Supply and use,14
Barley-Barley-          Cyprus-Exports and imports,33
Barley-Barley-          Cyprus-Supply and use,55
Barley-Barley-          Czech Republic-Exports and imports,129
Barley-Barley-          Denmark-Exports and imports,296
Barley-Barley-          Estonia-Exports and imports,4
Barley-Barley-          Finland-Exports and imports,362
"Barley-Barley-          Former Ussr, Begins 1/1989 & Ends 1/1993-Exports and imports",5
"Barley-Barley-          Former Yugoslavia, Ends 5/1992-Supply and use",39
Barley-Barley-          France-Exports and imports,354
Barley-Barley-          Georgia-Supply and use,23
"Barley-Barley-          German Democratic Republic, Ends 9/1990-Exports and imports",3
"Barley-Barley-          Germany, Fed. Republic; United, Begins 1-Exports and imports",411
Barley-Barley-          Greece-Exports and imports,42
Barley-Barley-          Hong Kong-Exports and imports,171
Barley-Barley-          Hungary-Exports and imports,5
Barley-Barley-          Iceland-Exports and imports,8
Barley-Barley-          Iceland-Supply and use,2
Barley-Barley-          India-Exports and imports,93
Barley-Barley-          India-Supply and use,31
Barley-Barley-          Indonesia-Exports and imports,16
Barley-Barley-          Ireland-Exports and imports,212
Barley-Barley-          Italy-Exports and imports,98
Barley-Barley-          Japan-Exports and imports,520
Barley-Barley-          Japan-Supply and use,58
Barley-Barley-          Kazakhstan-Supply and use,45
Barley-Barley-          Kyrgyzstan-Supply and use,23
Barley-Barley-          Latvia-Exports and imports,7
Barley-Barley-          Lithuania-Exports and imports,17
Barley-Barley-          Macao (Macau)-Exports and imports,6
Barley-Barley-          Macedonia (Skopje)-Supply and use,21
Barley-Barley-          Malaysia-Exports and imports,81
Barley-Barley-          Malta And Gozo-Exports and imports,2
Barley-Barley-          Malta And Gozo-Supply and use,39
Barley-Barley-          Moldova-Supply and use,29
Barley-Barley-          Montenegro-Exports and imports,2
Barley-Barley-          Nepal-Supply and use,1
Barley-Barley-          Netherlands-Exports and imports,293
Barley-Barley-          North Korea-Exports and imports,2
Barley-Barley-          Norway-Exports and imports,16
Barley-Barley-          Norway-Supply and use,58
Barley-Barley-          Pakistan-Exports and imports,28
Barley-Barley-          Pakistan-Supply and use,17
Barley-Barley-          Philippines-Exports and imports,165
Barley-Barley-          Poland-Exports and imports,122
Barley-Barley-          Portugal-Exports and imports,17
Barley-Barley-          Romania-Exports and imports,23
"Barley-Barley-          Russian Federation, Begins 2/1992-Exports and imports",143
"Barley-Barley-          Russian Federation, Begins 2/1992-Supply and use",60
Barley-Barley-          Serbia and Montenegro-Supply and use,9
Barley-Barley-          Serbia-Exports and imports,2
Barley-Barley-          Serbia-Supply and use,21
Barley-Barley-          Singapore-Exports and imports,129
Barley-Barley-          Singapore-Supply and use,16
Barley-Barley-          Slovakia-Exports and imports,6
Barley-Barley-          Slovenia-Exports and imports,2
Barley-Barley-          Slovenia-Supply and use,7
Barley-Barley-          South Korea-Exports and imports,551
Barley-Barley-          South Korea-Supply and use,49
Barley-Barley-          Spain-Exports and imports,59
Barley-Barley-          Sri Lanka-Exports and imports,31
Barley-Barley-          Sweden-Exports and imports,89
Barley-Barley-          Switzerland-Exports and imports,52
Barley-Barley-          Switzerland-Supply and use,62
Barley-Barley-          Tajikistan-Supply and use,21
Barley-Barley-          Thailand-Exports and imports,238
Barley-Barley-          Turkmenistan-Supply and use,7
Barley-Barley-          Ukraine-Exports and imports,12
Barley-Barley-          Ukraine-Supply and use,55
Barley-Barley-          United Kingdom-Exports and imports,623
Barley-Barley-          Uzbekistan-Supply and use,24
Barley-Barley-          Vietnam-Exports and imports,21
Barley-Barley-        Acceding_10-Exports and imports,267
Barley-Barley-        Algeria-Exports and imports,31
Barley-Barley-        Algeria-Supply and use,63
Barley-Barley-        Anguilla-Exports and imports,14
Barley-Barley-        Antigua & Barbuda-Exports and imports,32
Barley-Barley-        Argentina-Exports and imports,134
Barley-Barley-        Argentina-Supply and use,64
Barley-Barley-        Aruba-Exports and imports,9
Barley-Barley-        Australia (No Islands)-Exports and imports,388
Barley-Barley-        Australia (No Islands)-Supply and use,66
Barley-Barley-        Bahamas-Exports and imports,149
Barley-Barley-        Bahrain-Exports and imports,4
Barley-Barley-        Barbados-Exports and imports,50
Barley-Barley-        Belize-Exports and imports,18
Barley-Barley-        Bermuda-Exports and imports,22
Barley-Barley-        Bolivia-Exports and imports,10
Barley-Barley-        Brazil-Exports and imports,336
Barley-Barley-        Brazil-Supply and use,62
Barley-Barley-        British Virgin Islands-Exports and imports,36
Barley-Barley-        Canada-Exports and imports,730
Barley-Barley-        Canada-Supply and use,89
Barley-Barley-        Cayman Islands-Exports and imports,26
Barley-Barley-        Central African Republic-Exports and imports,2
Barley-Barley-        Chile-Exports and imports,123
Barley-Barley-        Chile-Supply and use,61
Barley-Barley-        Colombia-Exports and imports,333
Barley-Barley-        Colombia-Supply and use,54
Barley-Barley-        Costa Rica-Exports and imports,76
Barley-Barley-        Cuba-Exports and imports,4
Barley-Barley-        Cuba-Supply and use,32
Barley-Barley-        Dominica-Exports and imports,7
Barley-Barley-        Dominican Republic-Exports and imports,309
Barley-Barley-        East Asia-Exports and imports,723
Barley-Barley-        Ecuador-Exports and imports,57
Barley-Barley-        Ecuador-Supply and use,58
Barley-Barley-        Egypt-Exports and imports,20
Barley-Barley-        Egypt-Supply and use,41
Barley-Barley-        El Salvador-Exports and imports,213
Barley-Barley-        Equatorial Guinea-Exports and imports,2
"Barley-Barley-        Eritrea, Begins 7/1993-Supply and use",15
"Barley-Barley-        Ethiopia, United Ends 6/1993 & New Begin-Exports and imports",32
"Barley-Barley-        Ethiopia, United Ends 6/1993 & New Begin-Supply and use",15
Barley-Barley-        European Union_15-Exports and imports,699
Barley-Barley-        French Polynesia-Exports and imports,15
Barley-Barley-        Ghana-Exports and imports,13
Barley-Barley-        Grenada-Exports and imports,3
Barley-Barley-        Guadeloupe-Exports and imports,6
Barley-Barley-        Guatemala-Exports and imports,161
Barley-Barley-        Guinea-Exports and imports,2
Barley-Barley-        Guyana-Exports and imports,94
Barley-Barley-        Haiti-Exports and imports,37
Barley-Barley-        Honduras-Exports and imports,91
Barley-Barley-        Iran-Exports and imports,2
Barley-Barley-        Iran-Supply and use,56
Barley-Barley-        Iraq-Exports and imports,6
Barley-Barley-        Iraq-Supply and use,44
Barley-Barley-        Israel-Exports and imports,117
Barley-Barley-        Israel-Supply and use,60
Barley-Barley-        Ivory Coast-Exports and imports,2
Barley-Barley-        Jamaica-Exports and imports,240
Barley-Barley-        Jordan-Exports and imports,41
Barley-Barley-        Jordan-Supply and use,62
Barley-Barley-        Kenya-Exports and imports,4
Barley-Barley-        Kenya-Supply and use,20
Barley-Barley-        Kuwait-Exports and imports,7
Barley-Barley-        Kuwait-Supply and use,43
Barley-Barley-        Lebanon-Exports and imports,49
Barley-Barley-        Lebanon-Supply and use,80
Barley-Barley-        Libya-Exports and imports,5
Barley-Barley-        Libya-Supply and use,55
Barley-Barley-        Marshall Islands-Exports and imports,3
Barley-Barley-        Mauritius-Exports and imports,2
Barley-Barley-        Mexico-Exports and imports,491
Barley-Barley-        Mexico-Supply and use,58
Barley-Barley-        Montserrat-Exports and imports,2
Barley-Barley-        Morocco-Exports and imports,26
Barley-Barley-        Morocco-Supply and use,65
Barley-Barley-        Netherlands Antilles-Exports and imports,24
"Barley-Barley-        New Zealand, No Islands (=Old Code 6140)-Exports and imports",141
"Barley-Barley-        New Zealand, No Islands (=Old Code 6140)-Supply and use",57
Barley-Barley-        Nicaragua-Exports and imports,46
Barley-Barley-        Nigeria-Exports and imports,8
Barley-Barley-        Oman-Exports and imports,9
Barley-Barley-        Palau-Exports and imports,37
Barley-Barley-        Panama-Exports and imports,140
Barley-Barley-        Paraguay-Exports and imports,22
Barley-Barley-        Peru-Exports and imports,198
Barley-Barley-        Peru-Supply and use,57
Barley-Barley-        Qatar-Exports and imports,11
Barley-Barley-        Republic Of South Africa-Exports and imports,72
Barley-Barley-        Republic Of South Africa-Supply and use,54
Barley-Barley-        Saudi Arabia-Exports and imports,126
Barley-Barley-        Saudi Arabia-Supply and use,57
Barley-Barley-        Sierra Leone-Exports and imports,2
Barley-Barley-        Sint Maarten-Exports and imports,4
Barley-Barley-        South Asia-Exports and imports,142
Barley-Barley-        Southeast Asia-Exports and imports,453
Barley-Barley-        St. Lucia-Exports and imports,8
Barley-Barley-        St. Vincent And The Grenadine-Exports and imports,7
Barley-Barley-        Sudan-Exports and imports,2
Barley-Barley-        Syria-Supply and use,65
Barley-Barley-        Trinidad And Tobago-Exports and imports,226
Barley-Barley-        Tunisia-Exports and imports,22
Barley-Barley-        Tunisia-Supply and use,71
Barley-Barley-        Turkey-Exports and imports,69
Barley-Barley-        Turkey-Supply and use,80
Barley-Barley-        Turks And Caicos Islands-Exports and imports,68
Barley-Barley-        Uganda-Exports and imports,2
Barley-Barley-        United Arab Emirates-Exports and imports,30
Barley-Barley-        United Arab Emirates-Supply and use,52
Barley-Barley-        Uruguay-Exports and imports,35
Barley-Barley-        Uruguay-Supply and use,88
Barley-Barley-        Venezuela-Exports and imports,184
Barley-Barley-        Venezuela-Supply and use,4
"Barley-Barley-        Yemen (Sana), Ends 9/1990 & United Begin-Supply and use",1
Barley-Barley-        Zimbabwe-Supply and use,15
Barley-Barley-       Yemen United-Supply and use,3
Barley-Barley-      Asia-Exports and imports,725
Barley-Barley-      Caribbean-Exports and imports,405
Barley-Barley-      Central America-Exports and imports,451
Barley-Barley-      European Union_25-Exports and imports,703
Barley-Barley-      European Union_27-Exports and imports,703
Barley-Barley-      Former Soviet Union_12-Exports and imports,152
Barley-Barley-      Middle East-Exports and imports,278
Barley-Barley-      North Africa-Exports and imports,86
Barley-Barley-      North America-Exports and imports,730
Barley-Barley-      Other Europe-Exports and imports,72
Barley-Barley-      South America-Exports and imports,645
Barley-Barley-      Sub_Saharan Africa-Exports and imports,131
Barley-Barley-    Africa-Exports and imports,182
Barley-Barley-    Asia and Middle East-Exports and imports,725
Barley-Barley-    Europe/Eurasia-Exports and imports,711
Barley-Barley-    Oceania-Exports and imports,454
Barley-Barley-    Unidentified Country-Exports and imports,69
Barley-Barley-    Western Hemisphere-Exports and imports,730
Barley-Barley-  Caribbean Basin (CBERA)-Exports and imports,544
Barley-Barley-  Latin America-Exports and imports,707
Barley-Barley-  World less U.S.-Supply and use,684
Barley-Barley feed-United States-Prices,482
Barley-Barley grain-          Belgium-Exports and imports,30
Barley-Barley grain-          China (Mainland)-Exports and imports,255
Barley-Barley grain-          China (Taiwan)-Exports and imports,188
Barley-Barley grain-          Cyprus-Exports and imports,31
Barley-Barley grain-          Czech Republic-Exports and imports,2
Barley-Barley grain-          Denmark-Exports and imports,22
Barley-Barley grain-          Finland-Exports and imports,9
"Barley-Barley grain-          Former Ussr, Begins 1/1989 & Ends 1/1993-Exports and imports",2
Barley-Barley grain-          France-Exports and imports,41
"Barley-Barley grain-          German Democratic Republic, Ends 9/1990-Exports and imports",3
"Barley-Barley grain-          Germany, Fed. Republic; United, Begins 1-Exports and imports",58
Barley-Barley grain-          Greece-Exports and imports,12
Barley-Barley grain-          Hong Kong-Exports and imports,73
Barley-Barley grain-          Hungary-Exports and imports,2
Barley-Barley grain-          Iceland-Exports and imports,4
Barley-Barley grain-          India-Exports and imports,18
Barley-Barley grain-          Indonesia-Exports and imports,2
Barley-Barley grain-          Ireland-Exports and imports,37
Barley-Barley grain-          Italy-Exports and imports,54
Barley-Barley grain-          Japan-Exports and imports,351
Barley-Barley grain-          Macao (Macau)-Exports and imports,6
Barley-Barley grain-          Malaysia-Exports and imports,15
Barley-Barley grain-          Netherlands-Exports and imports,30
Barley-Barley grain-          North Korea-Exports and imports,2
Barley-Barley grain-          Norway-Exports and imports,2
Barley-Barley grain-          Pakistan-Exports and imports,10
